2,256, M, 1, 0, N, 714006, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 711008, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 714001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 714003, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719006, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 714008, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 714008, 0, 1, 0, 2,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 715002, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719004, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719007, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719009, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 715001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 716001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719003, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 717001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719005, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719002, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719008, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 711007, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719010, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719014, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720018, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720017, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720002, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720019, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720005, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720023, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720022, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720004, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720012, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720012, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720024, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720029, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720030, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720024, 0, 4, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721009, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721011, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719011, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720021, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720010, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720025, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720003, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720009, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720024, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720026, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720013, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720013, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721007, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721008, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721010, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719012, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720006, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719013, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 719015, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720016, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720020, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720007, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720027, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720024, 0, 3, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720014, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720028, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 720015, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721006, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721010, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721013, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721012, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721011, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721006, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,256, M, 1, 0, N, 721006, 0, 3, 0, 1,  	(19-MAY-2025 12:05:30)
2,0, , , , , 721006, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,268, , , , , 721006, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,268, , , , , 721006, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,268, , , , , 721006, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,268, , , , , 721006, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,152, M, 1, 0, N, 721015, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,152, M, 1, 0, N, 721014, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,1, , , , , 721014, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,0, , , , , 721014, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,0, , , , , 721014, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,0, , , , , 721014, , , 0, 1,  	(19-MAY-2025 12:05:30)	 (Not Inserted)
2,110, M, 1, 0, N, 723002, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723005, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723006, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723009, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 724001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 724001, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 724002, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 724002, 0, 1, 0, 2,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 724003, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 724004, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 724005, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 725002, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 725001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723001, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723008, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723004, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723008, 0, 2, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723003, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)
2,110, M, 1, 0, N, 723007, 0, 1, 0, 1,  	(19-MAY-2025 12:05:30)

TOTAL DATA IN EXCEL : 244 	(19-MAY-2025 12:05:30)
 

TOTAL DATA INSERTED : 222 	(19-MAY-2025 12:05:30)
 

TOTAL SKIPPED DATA 22 	(19-MAY-2025 12:05:30)
 
<<END>><<FMS_BUY_CARGO_ALLOC_BOE>> 	(19-MAY-2025 12:05:30)
 
