

2, 32 , KFL , C , C , 23/07/2020, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 197 , BIL , B , C , 25/06/2020, 	(23-SEP-2025 10:43:57)
2, 197 , BIL , R , C , 25/06/2020, 	(23-SEP-2025 10:43:57)
2, 197 , BIL , C , C , 25/06/2020, 	(23-SEP-2025 10:43:57)
2, 254 , RIPL , R , C , 19/11/2020, 	(23-SEP-2025 10:43:57)
2, 254 , RIPL , B , C , 19/11/2020, 	(23-SEP-2025 10:43:57)
2, 254 , RIPL , C , C , 19/11/2020, 	(23-SEP-2025 10:43:57)
2, 207 , CP , C , C , 15/10/2020, 	(23-SEP-2025 10:43:57)
2, 207 , CP , R , C , 15/10/2020, 	(23-SEP-2025 10:43:57)
2, 207 , CP , B , C , 15/10/2020, 	(23-SEP-2025 10:43:57)
2, 150 , HALHFGL , B , C , 26/10/2020, 	(23-SEP-2025 10:43:57)
2, 150 , HALHFGL , C , C , 26/10/2020, 	(23-SEP-2025 10:43:57)
2, 150 , HALHFGL , R , C , 26/10/2020, 	(23-SEP-2025 10:43:57)
2, 187 , VIDUWIL , R , C , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 187 , VIDUWIL , B , C , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 187 , VIDUWIL , C , C , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 33 , AGP CGD , C , C , 25/01/2021, 	(23-SEP-2025 10:43:57)
2, 33 , AGP CGD , R , C , 25/01/2021, 	(23-SEP-2025 10:43:57)
2, 33 , AGP CGD , B , C , 25/01/2021, 	(23-SEP-2025 10:43:57)
2, 34 , MINDA , C , C , 29/01/2021, 	(23-SEP-2025 10:43:57)
2, 34 , MINDA , R , C , 29/01/2021, 	(23-SEP-2025 10:43:57)
2, 34 , MINDA , B , C , 29/01/2021, 	(23-SEP-2025 10:43:57)
2, 238 , LEIPL , R , C , 04/11/2020, 	(23-SEP-2025 10:43:57)
2, 238 , LEIPL , B , C , 04/11/2020, 	(23-SEP-2025 10:43:57)
2, 238 , LEIPL , C , C , 04/11/2020, 	(23-SEP-2025 10:43:57)
2, 35 , SCHOTT , C , C , 24/02/2020, 	(23-SEP-2025 10:43:57)
2, 35 , SCHOTT , R , C , 24/02/2020, 	(23-SEP-2025 10:43:57)
2, 35 , SCHOTT , B , C , 24/02/2020, 	(23-SEP-2025 10:43:57)
2, 36 , HIL , C , C , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 36 , HIL , R , C , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 36 , HIL , B , C , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 37 , HCGD-B , B , C , 01/04/2021, 	(23-SEP-2025 10:43:57)
2, 37 , HCGD-B , R , C , 01/04/2021, 	(23-SEP-2025 10:43:57)
2, 37 , HCGD-B , C , C , 01/04/2021, 	(23-SEP-2025 10:43:57)
2, 198 , BIPL , C , C , 21/07/2020, 	(23-SEP-2025 10:43:57)
2, 198 , BIPL , R , C , 21/07/2020, 	(23-SEP-2025 10:43:57)
2, 198 , BIPL , B , C , 21/07/2020, 	(23-SEP-2025 10:43:57)
2, 220 , EXXARO , R , C , 23/06/2021, 	(23-SEP-2025 10:43:57)
2, 220 , EXXARO , B , C , 23/06/2021, 	(23-SEP-2025 10:43:57)
2, 220 , EXXARO , C , C , 23/06/2021, 	(23-SEP-2025 10:43:57)
2, 220 , EXXARO , R , C , 29/05/2021, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 257 , STVPL , R , C , 18/02/2021, 	(23-SEP-2025 10:43:57)
2, 233 , JGPL , R , C , 18/02/2021, 	(23-SEP-2025 10:43:57)
2, 279 , WALLCERA , R , C , 17/02/2021, 	(23-SEP-2025 10:43:57)
2, 193 , ASTIS , R , C , 17/02/2021, 	(23-SEP-2025 10:43:57)
2, 109 , PROTON , R , C , 16/06/2021, 	(23-SEP-2025 10:43:57)
2, 192 , ANTIQUE , R , C , 16/06/2021, 	(23-SEP-2025 10:43:57)
2, 149 , ACEGRAL , R , C , 16/06/2021, 	(23-SEP-2025 10:43:57)
2, 38 , KAJARIA , C , C , 30/11/2020, 	(23-SEP-2025 10:43:57)
2, 38 , KAJARIA , R , C , 30/11/2020, 	(23-SEP-2025 10:43:57)
2, 38 , KAJARIA , B , C , 30/11/2020, 	(23-SEP-2025 10:43:57)
2, 222 , GASGROWS , R , C , 07/05/2020, 	(23-SEP-2025 10:43:57)
2, 39 , SISECAM , C , C , 09/06/2021, 	(23-SEP-2025 10:43:57)
2, 39 , SISECAM , R , C , 09/06/2021, 	(23-SEP-2025 10:43:57)
2, 39 , SISECAM , B , C , 09/06/2021, 	(23-SEP-2025 10:43:57)
2, 40 , ATPL , R , C , 17/12/2020, 	(23-SEP-2025 10:43:57)
2, 40 , ATPL , B , C , 17/12/2020, 	(23-SEP-2025 10:43:57)
2, 40 , ATPL , C , C , 17/12/2020, 	(23-SEP-2025 10:43:57)
2, 41 , OPAL , B , C , 28/07/2021, 	(23-SEP-2025 10:43:57)
2, 41 , OPAL , R , C , 28/07/2021, 	(23-SEP-2025 10:43:57)
2, 41 , OPAL , C , C , 28/07/2021, 	(23-SEP-2025 10:43:57)
2, 234 , JKPAPER , C , C , 02/08/2021, 	(23-SEP-2025 10:43:57)
2, 234 , JKPAPER , R , C , 02/08/2021, 	(23-SEP-2025 10:43:57)
2, 234 , JKPAPER , B , C , 02/08/2021, 	(23-SEP-2025 10:43:57)
2, 263 , STL , R , C , 25/08/2021, 	(23-SEP-2025 10:43:57)
2, 263 , STL , B , C , 25/08/2021, 	(23-SEP-2025 10:43:57)
2, 263 , STL , C , C , 25/08/2021, 	(23-SEP-2025 10:43:57)
2, 273 , UEPL , R , C , 03/09/2021, 	(23-SEP-2025 10:43:57)
2, 206 , CELLO , R , C , 01/12/2021, 	(23-SEP-2025 10:43:57)
2, 206 , CELLO , B , C , 01/12/2021, 	(23-SEP-2025 10:43:57)
2, 206 , CELLO , C , C , 01/12/2021, 	(23-SEP-2025 10:43:57)
2, 204 , CALDERYS , R , C , 20/12/2021, 	(23-SEP-2025 10:43:57)
2, 204 , CALDERYS , B , C , 20/12/2021, 	(23-SEP-2025 10:43:57)
2, 204 , CALDERYS , C , C , 20/12/2021, 	(23-SEP-2025 10:43:57)
2, 42 , RCF , R , C , 30/12/2021, 	(23-SEP-2025 10:43:57)
2, 42 , RCF , B , C , 30/12/2021, 	(23-SEP-2025 10:43:57)
2, 42 , RCF , C , C , 30/12/2021, 	(23-SEP-2025 10:43:57)
2, 201 , BWRL , R , C , 25/01/2022, 	(23-SEP-2025 10:43:57)
2, 201 , BWRL , B , C , 25/01/2022, 	(23-SEP-2025 10:43:57)
2, 201 , BWRL , C , C , 25/01/2022, 	(23-SEP-2025 10:43:57)
2, 235 , KRYO , R , C , 31/01/2022, 	(23-SEP-2025 10:43:57)
2, 276 , VIRGO , C , C , 12/02/2022, 	(23-SEP-2025 10:43:57)
2, 276 , VIRGO , R , C , 12/02/2022, 	(23-SEP-2025 10:43:57)
2, 276 , VIRGO , B , C , 12/02/2022, 	(23-SEP-2025 10:43:57)
2, 196 , BLPL , R , C , 02/03/2022, 	(23-SEP-2025 10:43:57)
2, 196 , BLPL , B , C , 26/05/2022, 	(23-SEP-2025 10:43:57)
2, 196 , BLPL , C , C , 26/05/2022, 	(23-SEP-2025 10:43:57)
2, 223 , GIPSKARTON , B , C , 24/03/2022, 	(23-SEP-2025 10:43:57)
2, 223 , GIPSKARTON , R , C , 24/03/2022, 	(23-SEP-2025 10:43:57)
2, 270 , TGPL , C , T , 27/04/2005, 	(23-SEP-2025 10:43:57)
2, 270 , TGPL , R , T , 27/04/2005, 	(23-SEP-2025 10:43:57)
2, 116 , SELNG , R , T , 03/10/2008, 	(23-SEP-2025 10:43:57)
2, 116 , SELNG , C , T , 03/10/2008, 	(23-SEP-2025 10:43:57)
2, 116 , SELNG , R , T , 29/04/2005, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 256 , SITME , R , T , 21/06/2021, 	(23-SEP-2025 10:43:57)
2, 256 , SITME , B , T , 21/06/2021, 	(23-SEP-2025 10:43:57)
2, 256 , SITME , C , T , 21/06/2021, 	(23-SEP-2025 10:43:57)
2, 1 , RIL , R , T , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 1 , RIL , B , T , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 43 , BP , C , T , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 43 , BP , R , T , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 43 , BP , B , T , 01/01/2021, 	(23-SEP-2025 10:43:57)
2, 20 , AMNS , R , T , 01/01/2019, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 1 , RIL , R , T , 25/03/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2,  , PIL-Haz , C , R , 14/09/2008, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2,  , PIL-Haz , C , R , 14/09/2010, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2,  , PIL-Haz , C , R , 25/04/2019, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 45 , GSPL , R , C , 21/04/2006, 	(23-SEP-2025 10:43:57)
2, 45 , GSPL , R , R , 21/04/2006, 	(23-SEP-2025 10:43:57)
2,  , PARK-MSK , R , R , 19/04/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2,  , PARK-BHD , R , R , 19/04/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2,  , PARKPHUCBM , R , R , 19/04/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 46 , TGLPL , C , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 46 , TGLPL , R , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 46 , TGLPL , B , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 47 , TGBPL , C , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 47 , TGBPL , R , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 47 , TGBPL , B , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 48 , BGEPL , R , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 48 , BGEPL , C , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 48 , BGEPL , B , C , 29/04/2022, 	(23-SEP-2025 10:43:57)
2, 231 , IMCL , R , C , 12/05/2022, 	(23-SEP-2025 10:43:57)
2, 231 , IMCL , C , C , 12/05/2022, 	(23-SEP-2025 10:43:57)
2, 231 , IMCL , B , C , 12/05/2022, 	(23-SEP-2025 10:43:57)
2,  , PMSKP , R , R , 13/05/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 49 , VVF India , R , C , 14/05/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 49 , VVF India , B , C , 14/05/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 49 , VVF India , C , C , 14/05/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 49 , VVF India , R , C , 16/12/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 50 , GNFC , B , C , 24/05/2022, 	(23-SEP-2025 10:43:57)
2, 50 , GNFC , R , C , 24/05/2022, 	(23-SEP-2025 10:43:57)
2, 50 , GNFC , C , C , 24/05/2022, 	(23-SEP-2025 10:43:57)
2, 140 , MEGHHQX , R , C , 02/06/2022, 	(23-SEP-2025 10:43:57)
2, 140 , MEGHHQX , B , C , 02/06/2022, 	(23-SEP-2025 10:43:57)
2, 140 , MEGHHQX , C , C , 02/06/2022, 	(23-SEP-2025 10:43:57)
2, 51 , ONGC , R , T , 07/06/2022, 	(23-SEP-2025 10:43:57)
2, 51 , ONGC , B , T , 07/06/2022, 	(23-SEP-2025 10:43:57)
2, 51 , ONGC , C , T , 07/06/2022, 	(23-SEP-2025 10:43:57)
2, 52 , GLIL , R , C , 07/06/2022, 	(23-SEP-2025 10:43:57)
2, 52 , GLIL , B , C , 07/06/2022, 	(23-SEP-2025 10:43:57)
2, 52 , GLIL , C , C , 07/06/2022, 	(23-SEP-2025 10:43:57)
2, 272 , UGEL , R , C , 09/06/2022, 	(23-SEP-2025 10:43:57)
2, 255 , SGI-AP , R , C , 27/06/2022, 	(23-SEP-2025 10:43:57)
2, 255 , SGI-AP , B , C , 27/06/2022, 	(23-SEP-2025 10:43:57)
2, 255 , SGI-AP , C , C , 27/06/2022, 	(23-SEP-2025 10:43:57)
2,  , IGX , R , C , 29/06/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 53 , RGPL , R , C , 29/06/2022, 	(23-SEP-2025 10:43:57)
2, 53 , RGPL , R , R , 29/06/2022, 	(23-SEP-2025 10:43:57)
2, 224 , GTIPL , R , C , 01/07/2022, 	(23-SEP-2025 10:43:57)
2,  , GSPL-C , R , C , 12/07/2022, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 117 , PEPL , R , C , 13/07/2022, 	(23-SEP-2025 10:43:57)
2, 117 , PEPL , C , C , 28/02/2024, 	(23-SEP-2025 10:43:57)
2, 117 , PEPL , B , C , 28/02/2024, 	(23-SEP-2025 10:43:57)
2, 54 , GFCL , C , C , 14/07/2022, 	(23-SEP-2025 10:43:57)
2, 54 , GFCL , B , C , 14/07/2022, 	(23-SEP-2025 10:43:57)
2, 54 , GFCL , R , C , 14/07/2022, 	(23-SEP-2025 10:43:57)
2, 157 , DEEPENER , R , T , 16/08/2022, 	(23-SEP-2025 10:43:57)
2, 55 , CPL , R , C , 16/08/2022, 	(23-SEP-2025 10:43:57)
2, 55 , CPL , B , C , 16/08/2022, 	(23-SEP-2025 10:43:57)
2, 55 , CPL , C , C , 16/08/2022, 	(23-SEP-2025 10:43:57)
2, 56 , IRM , R , C , 24/08/2022, 	(23-SEP-2025 10:43:57)
2, 56 , IRM , C , C , 24/08/2022, 	(23-SEP-2025 10:43:57)
2, 56 , IRM , B , C , 24/08/2022, 	(23-SEP-2025 10:43:57)
2, 57 , PPL , R , C , 26/08/2022, 	(23-SEP-2025 10:43:57)
2, 57 , PPL , C , C , 30/08/2022, 	(23-SEP-2025 10:43:57)
2, 57 , PPL , B , C , 30/08/2022, 	(23-SEP-2025 10:43:57)
2, 58 , YARALTD , C , C , 06/09/2022, 	(23-SEP-2025 10:43:57)
2, 58 , YARALTD , R , C , 06/09/2022, 	(23-SEP-2025 10:43:57)
2, 58 , YARALTD , B , C , 06/09/2022, 	(23-SEP-2025 10:43:57)
2, 59 , INPEROX , R , C , 13/09/2022, 	(23-SEP-2025 10:43:57)
2, 59 , INPEROX , B , C , 13/09/2022, 	(23-SEP-2025 10:43:57)
2, 59 , INPEROX , C , C , 13/09/2022, 	(23-SEP-2025 10:43:57)
2, 60 , RAFECHL , R , C , 28/09/2022, 	(23-SEP-2025 10:43:57)
2, 124 , MGRPL , R , C , 01/10/2022, 	(23-SEP-2025 10:43:57)
2, 124 , MGRPL , R , T , 01/10/2022, 	(23-SEP-2025 10:43:57)
2, 208 , CNTENKA , C , C , 17/10/2022, 	(23-SEP-2025 10:43:57)
2, 208 , CNTENKA , R , C , 17/10/2022, 	(23-SEP-2025 10:43:57)
2, 208 , CNTENKA , B , C , 17/10/2022, 	(23-SEP-2025 10:43:57)
2, 61 , EFSPL , R , C , 25/10/2022, 	(23-SEP-2025 10:43:57)
2, 61 , EFSPL , R , T , 25/10/2022, 	(23-SEP-2025 10:43:57)
2, 158 , HINDURV , R , C , 17/11/2022, 	(23-SEP-2025 10:43:57)
2, 158 , HINDURV , B , C , 28/02/2023, 	(23-SEP-2025 10:43:57)
2, 158 , HINDURV , C , C , 28/02/2023, 	(23-SEP-2025 10:43:57)
2, 227 , HCGPUTE , R , C , 18/11/2022, 	(23-SEP-2025 10:43:57)
2, 227 , HCGPUTE , B , C , 21/11/2022, 	(23-SEP-2025 10:43:57)
2, 227 , HCGPUTE , C , C , 21/11/2022, 	(23-SEP-2025 10:43:57)
2, 63 , GOAGLSF , R , C , 25/11/2022, 	(23-SEP-2025 10:43:57)
2, 63 , GOAGLSF , B , C , 25/11/2022, 	(23-SEP-2025 10:43:57)
2, 63 , GOAGLSF , C , C , 25/11/2022, 	(23-SEP-2025 10:43:57)
2, 64 , IGSPL , R , C , 25/11/2022, 	(23-SEP-2025 10:43:57)
2, 64 , IGSPL , R , T , 25/11/2022, 	(23-SEP-2025 10:43:57)
2, 65 , PEFORCV , R , C , 08/12/2022, 	(23-SEP-2025 10:43:57)
2, 65 , PEFORCV , B , C , 08/12/2022, 	(23-SEP-2025 10:43:57)
2, 65 , PEFORCV , C , C , 08/12/2022, 	(23-SEP-2025 10:43:57)
2, 66 , BHEL , R , C , 12/12/2022, 	(23-SEP-2025 10:43:57)
2, 210 , COMFIND , R , C , 13/12/2022, 	(23-SEP-2025 10:43:57)
2, 67 , DCMSHRI , R , C , 13/12/2022, 	(23-SEP-2025 10:43:57)
2, 67 , DCMSHRI , B , C , 13/12/2022, 	(23-SEP-2025 10:43:57)
2, 67 , DCMSHRI , C , C , 13/12/2022, 	(23-SEP-2025 10:43:57)
2, 77 , HCGKCEP , R , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 81 , HOECLTD , R , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 81 , HOECLTD , R , T , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 144 , HINAGIL , R , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 147 , HPOIGAS , R , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 147 , HPOIGAS , B , C , 20/12/2023, 	(23-SEP-2025 10:43:57)
2, 147 , HPOIGAS , C , C , 20/12/2023, 	(23-SEP-2025 10:43:57)
2, 86 , MANIKAR , R , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 88 , MINDLTD , R , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 88 , MINDLTD , B , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 88 , MINDLTD , C , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 166 , ESSAREX , R , T , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 92 , NEL , C , C , 01/03/2023, 	(23-SEP-2025 10:43:57)
2, 92 , NEL , R , C , 14/12/2022, 	(23-SEP-2025 10:43:57)
2, 103 , IOCL , R , C , 16/12/2022, 	(23-SEP-2025 10:43:57)
2, 104 , TASTELI , C , C , 01/02/2023, 	(23-SEP-2025 10:43:57)
2, 104 , TASTELI , B , C , 01/02/2023, 	(23-SEP-2025 10:43:57)
2, 104 , TASTELI , R , C , 30/12/2022, 	(23-SEP-2025 10:43:57)
2, 105 , HMEL , C , C , 04/01/2023, 	(23-SEP-2025 10:43:57)
2, 105 , HMEL , R , C , 04/01/2023, 	(23-SEP-2025 10:43:57)
2, 105 , HMEL , B , C , 04/01/2023, 	(23-SEP-2025 10:43:57)
2, 211 , DIL , R , T , 01/01/2023, 	(23-SEP-2025 10:43:57)
2, 162 , BOROREN , C , C , 01/12/2023, 	(23-SEP-2025 10:43:57)
2, 162 , BOROREN , B , C , 01/12/2023, 	(23-SEP-2025 10:43:57)
2, 162 , BOROREN , R , C , 05/01/2023, 	(23-SEP-2025 10:43:57)
2, 151 , KINGASP , B , C , 01/07/2023, 	(23-SEP-2025 10:43:57)
2, 151 , KINGASP , C , C , 01/07/2023, 	(23-SEP-2025 10:43:57)
2, 151 , KINGASP , R , C , 13/01/2023, 	(23-SEP-2025 10:43:57)
2, 106 , RATNAGI , B , C , 14/06/2023, 	(23-SEP-2025 10:43:57)
2, 106 , RATNAGI , R , C , 19/01/2023, 	(23-SEP-2025 10:43:57)
2, 107 , IDOINVA , R , C , 27/01/2023, 	(23-SEP-2025 10:43:57)
2, 107 , IDOINVA , B , C , 30/04/2023, 	(23-SEP-2025 10:43:57)
2, 107 , IDOINVA , C , C , 30/04/2023, 	(23-SEP-2025 10:43:57)
2, 107 , IDOINVA , R , C , 27/01/2023, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 107 , IDOINVA , C , C , 30/04/2023, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 107 , IDOINVA , B , C , 30/04/2023, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 190 , AGPCGIN , C , C , 09/02/2023, 	(23-SEP-2025 10:43:57)
2, 190 , AGPCGIN , R , C , 09/02/2023, 	(23-SEP-2025 10:43:57)
2, 190 , AGPCGIN , B , C , 09/02/2023, 	(23-SEP-2025 10:43:57)
2, 176 , NESTLIN , C , C , 10/02/2023, 	(23-SEP-2025 10:43:57)
2, 176 , NESTLIN , R , C , 10/02/2023, 	(23-SEP-2025 10:43:57)
2, 110 , SITMEFZ , R , T , 08/03/2023, 	(23-SEP-2025 10:43:57)
2, 188 , VISHPRI , R , C , 14/03/2023, 	(23-SEP-2025 10:43:57)
2, 185 , SOMANYL , R , C , 16/03/2023, 	(23-SEP-2025 10:43:57)
2, 202 , BHOGATD , R , C , 03/04/2023, 	(23-SEP-2025 10:43:57)
2, 186 , VEDALTD , R , C , 13/04/2023, 	(23-SEP-2025 10:43:57)
2, 186 , VEDALTD , R , T , 13/04/2023, 	(23-SEP-2025 10:43:57)
2, 277 , VIGASLD , R , C , 18/04/2023, 	(23-SEP-2025 10:43:57)
2, 167 , GOLDPFG , R , C , 20/04/2023, 	(23-SEP-2025 10:43:57)
2, 159 , CAIRENH , R , T , 17/05/2023, 	(23-SEP-2025 10:43:57)
2, 168 , GSIGLIM , R , R , 18/05/2023, 	(23-SEP-2025 10:43:57)
2, 122 , GAILGAS , R , C , 01/06/2023, 	(23-SEP-2025 10:43:57)
2, 174 , KUTCHCL , R , C , 20/06/2023, 	(23-SEP-2025 10:43:57)
2,  , PIINDUS , R , C , 30/06/2023, 	(23-SEP-2025 10:43:57)	 (Not Inserted)
2, 278 , SEMTEXP , R , C , 01/04/2023, 	(23-SEP-2025 10:43:57)
2, 278 , SEMTEXP , R , T , 01/04/2023, 	(23-SEP-2025 10:43:57)
2, 108 , GRINDUS , R , C , 05/07/2023, 	(23-SEP-2025 10:43:57)
2, 108 , GRINDUS , C , C , 05/07/2025, 	(23-SEP-2025 10:43:57)
2, 108 , GRINDUS , B , C , 05/07/2025, 	(23-SEP-2025 10:43:57)
2, 181 , SANENER , R , C , 21/09/2023, 	(23-SEP-2025 10:43:57)
2, 181 , SANENER , R , T , 21/09/2023, 	(23-SEP-2025 10:43:57)
2, 183 , SUMGLAS , C , C , 01/10/2023, 	(23-SEP-2025 10:43:57)
2, 183 , SUMGLAS , B , C , 01/10/2023, 	(23-SEP-2025 10:43:57)
2, 183 , SUMGLAS , R , C , 27/09/2023, 	(23-SEP-2025 10:43:57)
2, 184 , SVTPLIN , C , C , 01/10/2023, 	(23-SEP-2025 10:43:57)
2, 184 , SVTPLIN , B , C , 01/10/2023, 	(23-SEP-2025 10:43:57)
2, 184 , SVTPLIN , R , C , 28/09/2023, 	(23-SEP-2025 10:43:57)
2, 112 , SPSSETL1 , R , T , 02/10/2023, 	(23-SEP-2025 10:43:57)
2, 113 , SIETCO , R , T , 11/10/2023, 	(23-SEP-2025 10:43:57)
2, 123 , AVGL , R , C , 20/12/2023, 	(23-SEP-2025 10:43:57)
2, 123 , AVGL , B , C , 20/12/2023, 	(23-SEP-2025 10:43:57)
2, 121 , NGPL , R , C , 19/01/2024, 	(23-SEP-2025 10:43:57)
2, 115 , SILS , R , T , 21/02/2024, 	(23-SEP-2025 10:43:57)
2, 114 , STASCO , R , C , 14/02/2024, 	(23-SEP-2025 10:43:57)
2, 114 , STASCO , R , T , 14/02/2024, 	(23-SEP-2025 10:43:57)
2, 119 , ROCKIND , R , C , 23/02/2024, 	(23-SEP-2025 10:43:57)
2, 175 , MEDCIGA , R , C , 03/04/2024, 	(23-SEP-2025 10:43:57)
2, 118 , LANCOKO , R , C , 05/04/2024, 	(23-SEP-2025 10:43:57)
2, 130 , CRMNDEL , R , C , 01/07/2024, 	(23-SEP-2025 10:43:57)
2, 130 , CRMNDEL , C , C , 27/06/2024, 	(23-SEP-2025 10:43:57)
2, 130 , CRMNDEL , B , C , 27/06/2024, 	(23-SEP-2025 10:43:57)
2, 281 , SEIPLDY , R , C , 01/10/2024, 	(23-SEP-2025 10:43:57)
2, 134 , GSINLIM , R , R , 13/01/2025, 	(23-SEP-2025 10:43:57)
2,  , ULTRADG , R , C , 03/06/2025, 	(23-SEP-2025 10:43:57)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,444,,,,, 	(23-SEP-2025 10:43:57)
 

TOTAL DATA INSERTED : ,386,,,,, 	(23-SEP-2025 10:43:57)
 

TOTAL SKIPPED DATA ,58,,,,, 	(23-SEP-2025 10:43:57)
 
<<END>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(23-SEP-2025 10:43:57)
 
