
IMCL,113,C,1,12/05/2022 00:00:00, 	(26-FEB-2025 10:04:30)
VVF India,115,C,1,14/05/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GNFC,116,C,1,24/05/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GNFC,116,C,2,01/01/2023 00:00:00, 	(26-FEB-2025 10:04:30)
MEGHHQX,117,C,1,03/06/2022 00:00:00, 	(26-FEB-2025 10:04:30)
ONGC,118,T,1,20/07/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GLIL,119,C,1,08/06/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GLIL,119,C,2,08/06/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GLIL,119,C,3,08/06/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GLIL,119,C,4,28/03/2023 00:00:00, 	(26-FEB-2025 10:04:30)
UGEL,120,C,1,25/06/2022 00:00:00, 	(26-FEB-2025 10:04:30)
SGI-AP,121,C,1,27/06/2022 00:00:00, 	(26-FEB-2025 10:04:30)
RGPL,124,C,1,27/06/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GTIPL,125,C,1,01/07/2022 00:00:00, 	(26-FEB-2025 10:04:30)
PEPL,127,C,1,13/07/2022 00:00:00, 	(26-FEB-2025 10:04:30)
PEPL,127,C,2,28/02/2024 00:00:00, 	(26-FEB-2025 10:04:30)
GFCL,128,C,1,14/07/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GFCL,128,C,2,28/04/2023 00:00:00, 	(26-FEB-2025 10:04:30)
DERL,129,T,1,16/08/2022 00:00:00, 	(26-FEB-2025 10:04:30)
CPL,130,C,1,16/08/2022 00:00:00, 	(26-FEB-2025 10:04:30)
IRM,131,C,1,24/08/2022 00:00:00, 	(26-FEB-2025 10:04:30)
IRM,131,C,1,24/08/2022 00:00:00, 	(26-FEB-2025 10:04:30)
PPL,132,C,1,26/08/2022 00:00:00, 	(26-FEB-2025 10:04:30)
YARALTD,133,C,1,06/09/2022 00:00:00, 	(26-FEB-2025 10:04:30)
INPEROX,134,C,1,13/09/2022 00:00:00, 	(26-FEB-2025 10:04:30)
RAFECHL,135,C,1,01/09/2022 00:00:00, 	(26-FEB-2025 10:04:30)
RAFECHL,135,C,1,01/01/2025 00:00:00, 	(26-FEB-2025 10:04:30)
MGRPL,136,C,1,01/12/2022 00:00:00, 	(26-FEB-2025 10:04:30)
MGRPL,136,T,1,01/10/2022 00:00:00, 	(26-FEB-2025 10:04:30)
MGRPL,136,T,2,01/03/2024 00:00:00, 	(26-FEB-2025 10:04:30)
CNTENKA,137,C,1,17/10/2022 00:00:00, 	(26-FEB-2025 10:04:30)
EFSPL,138,C,1,01/05/2023 00:00:00, 	(26-FEB-2025 10:04:30)
EFSPL,138,T,1,25/10/2022 00:00:00, 	(26-FEB-2025 10:04:30)
EFSPL,138,T,2,25/11/2024 00:00:00, 	(26-FEB-2025 10:04:30)
HINDURV,140,C,1,28/02/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HINDURV,140,C,2,01/03/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HCGPUTE,142,C,1,21/11/2022 00:00:00, 	(26-FEB-2025 10:04:30)
GOAGLSF,143,C,1,25/11/2022 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,C,1,25/11/2022 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,C,1,01/05/2023 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,C,2,01/05/2023 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,C,1,25/11/2022 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,C,1,01/05/2023 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,C,2,01/05/2023 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,T,1,01/09/2023 00:00:00, 	(26-FEB-2025 10:04:30)
IGSPL,144,T,2,01/10/2023 00:00:00, 	(26-FEB-2025 10:04:30)
PEFORCV,146,C,1,01/12/2022 00:00:00, 	(26-FEB-2025 10:04:30)
PEFORCV,146,C,1,08/12/2022 00:00:00, 	(26-FEB-2025 10:04:30)
BHEL,155,C,1,01/05/2024 00:00:00, 	(26-FEB-2025 10:04:30)
BHEL,155,C,2,01/05/2024 00:00:00, 	(26-FEB-2025 10:04:30)
COMFIND,159,C,1,01/08/2023 00:00:00, 	(26-FEB-2025 10:04:30)
DCMSHRI,160,C,1,29/03/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HOECLTD,182,C,1,01/03/2024 00:00:00, 	(26-FEB-2025 10:04:30)
HOECLTD,182,T,1,01/03/2024 00:00:00, 	(26-FEB-2025 10:04:30)
HINAGIL,184,C,1,15/04/2024 00:00:00, 	(26-FEB-2025 10:04:30)
HPOIGAS,188,C,1,20/12/2023 00:00:00, 	(26-FEB-2025 10:04:30)
MANIKAR,196,C,1,20/07/2023 00:00:00, 	(26-FEB-2025 10:04:30)
ESSAREX,208,T,1,01/09/2023 00:00:00, 	(26-FEB-2025 10:04:30)
NEL,209,C,1,01/03/2023 00:00:00, 	(26-FEB-2025 10:04:30)
TASTELI,238,C,1,01/02/2023 00:00:00, 	(26-FEB-2025 10:04:30)
TASTELI,238,C,1,26/02/2024 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,1,04/01/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,1,06/01/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,2,01/07/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,2,08/07/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,3,20/12/2023 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,4,29/02/2024 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,5,26/07/2024 00:00:00, 	(26-FEB-2025 10:04:30)
HMEL,239,C,6,26/07/2024 00:00:00, 	(26-FEB-2025 10:04:30)
DIL,240,T,1,01/01/2023 00:00:00, 	(26-FEB-2025 10:04:30)
BOROREN,241,C,1,01/12/2023 00:00:00, 	(26-FEB-2025 10:04:30)
KINGASP,242,C,1,01/07/2023 00:00:00, 	(26-FEB-2025 10:04:30)
KINGASP,242,C,2,01/07/2023 00:00:00, 	(26-FEB-2025 10:04:30)
RATNAGI,245,C,1,14/06/2023 00:00:00, 	(26-FEB-2025 10:04:30)
IDOINVA,247,C,1,27/01/2023 00:00:00, 	(26-FEB-2025 10:04:30)
AGPCGIN,250,C,1,09/02/2023 00:00:00, 	(26-FEB-2025 10:04:30)
AGPCGIN,250,C,2,10/02/2023 00:00:00, 	(26-FEB-2025 10:04:30)
NESTLIN,251,C,1,10/02/2023 00:00:00, 	(26-FEB-2025 10:04:30)
VISHPRI,253,C,1,14/03/2023 00:00:00, 	(26-FEB-2025 10:04:30)
SOMANY,255,C,1,16/03/2023 00:00:00, 	(26-FEB-2025 10:04:30)
BHOGATD,256,C,1,10/07/2023 00:00:00, 	(26-FEB-2025 10:04:30)
BHOGATD,256,C,2,18/07/2023 00:00:00, 	(26-FEB-2025 10:04:30)
VEDALTD,257,C,1,13/04/2023 00:00:00, 	(26-FEB-2025 10:04:30)
VEDALTD,257,T,1,13/04/2023 00:00:00, 	(26-FEB-2025 10:04:30)
VIGASLD,258,C,1,24/04/2023 00:00:00, 	(26-FEB-2025 10:04:30)
GOLDPFG,259,C,1,21/04/2023 00:00:00, 	(26-FEB-2025 10:04:30)
CAIRENH,261,T,1,17/05/2023 00:00:00, 	(26-FEB-2025 10:04:31)
GSIGLIM,263,T,1,17/05/2023 00:00:00, 	(26-FEB-2025 10:04:31)
GSIGLIM,263,T,1,17/05/2023 00:00:00, 	(26-FEB-2025 10:04:31)
GAILGAS,265,C,1,01/06/2023 00:00:00, 	(26-FEB-2025 10:04:31)
GAILGAS,265,C,2,28/02/2024 00:00:00, 	(26-FEB-2025 10:04:31)
KUTCHCL,267,C,1,08/03/2024 00:00:00, 	(26-FEB-2025 10:04:31)
SEMTEXP,269,C,1,01/01/2023 00:00:00, 	(26-FEB-2025 10:04:31)
SEMTEXP,269,C,2,01/09/2023 00:00:00, 	(26-FEB-2025 10:04:31)
SEMTEXP,269,C,3,01/09/2023 00:00:00, 	(26-FEB-2025 10:04:31)
SANENER,273,C,1,01/01/2024 00:00:00, 	(26-FEB-2025 10:04:31)
SANENER,273,T,1,21/11/2024 00:00:00, 	(26-FEB-2025 10:04:31)
SUMGLAS,274,C,1,01/10/2023 00:00:00, 	(26-FEB-2025 10:04:31)
SVTPLIN,275,C,1,01/10/2023 00:00:00, 	(26-FEB-2025 10:04:31)
AVGL,282,C,1,20/12/2023 00:00:00, 	(26-FEB-2025 10:04:31)
NGPL,284,C,1,19/01/2024 00:00:00, 	(26-FEB-2025 10:04:31)
ROCKIND,287,C,1,23/02/2024 00:00:00, 	(26-FEB-2025 10:04:31)
LANCOKO,290,C,1,05/04/2024 00:00:00, 	(26-FEB-2025 10:04:31)
CRMNDEL,291,C,1,27/06/2024 00:00:00, 	(26-FEB-2025 10:04:31)
SEIPLDY,296,C,1,01/10/2024 00:00:00, 	(26-FEB-2025 10:04:31)
SEIPLDY,296,C,2,01/01/2025 00:00:00, 	(26-FEB-2025 10:04:31)
SEIPLDY,296,C,3,01/01/2025 00:00:00, 	(26-FEB-2025 10:04:31)
SEIPLDY,296,C,4,01/01/2025 00:00:00, 	(26-FEB-2025 10:04:31)
SEIPLDY,296,C,5,01/01/2025 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,C,5,01/01/2025 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,1,11/10/2022 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,1,01/01/2003 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,1,11/10/2022 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,1,01/01/2003 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,1,11/10/2022 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,1,01/01/2003 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,2,26/04/2021 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,3,01/04/2023 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,3,22/06/2024 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,2,26/04/2021 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,3,01/04/2023 00:00:00, 	(26-FEB-2025 10:04:31)
GSINLIM,298,B,3,22/06/2024 00:00:00, 	(26-FEB-2025 10:04:31)

TOTAL DATA EXTRACTED :,433 ,,,,  	(26-FEB-2025 10:04:31)
 
<<END>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,, 	(26-FEB-2025 10:04:31)
 
<<START>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(26-FEB-2025 10:04:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
SSAPL,2,S,1,01/04/2013 00:00:00, 	(26-FEB-2025 10:04:31)
SGSINDIA,2,S,1,01/04/2007 00:00:00, 	(26-FEB-2025 10:04:31)
JBB,2,V,1,01/04/2007 00:00:00, 	(26-FEB-2025 10:04:31)
SLPL,2,H,1,21/01/2016 00:00:00, 	(26-FEB-2025 10:04:31)
SLPL,2,H,1,21/01/2016 00:00:00, 	(26-FEB-2025 10:04:31)
BOXCO,2,H,1,11/08/2014 00:00:00, 	(26-FEB-2025 10:04:31)
JMB,2,H,1,01/04/2005 00:00:00, 	(26-FEB-2025 10:04:31)

TOTAL DATA EXTRACTED :,7 ,,,,  	(26-FEB-2025 10:04:31)
 
<<END>>,<<FMS_COUNTERPARTY_BU_DTL>>,,,, 	(26-FEB-2025 10:04:31)
 
